id,nombre,nacionalidad,edad,premios
1,David Rivera,United States Minor Outlying Islands,61,1
2,Daniel Smith,San Marino,22,8
3,Christopher Hernandez,Colombia,74,1
4,Christine Parker,Nicaragua,46,3
5,George Dyer,Wallis and Futuna,71,5
6,Sheri Pena,Kazakhstan,59,7
7,Scott Green,Netherlands Antilles,70,4
8,Andrew Boyd,Madagascar,39,9
9,Jill Clark DDS,Mali,33,0
10,Pedro Thomas,Gambia,73,1
11,Carolyn West,Barbados,64,8
12,Jeffery Franco,Romania,25,4
13,Ryan Ramos,Italy,42,6
14,Ashley Espinoza,Argentina,63,8
15,Jesse Greene,Heard Island and McDonald Islands,72,3
16,Angela Armstrong,Timor-Leste,63,10
17,Mike Kennedy,Brazil,41,3
18,Catherine Grant,Tuvalu,70,7
19,Jessica Stevenson,Aruba,29,3
20,Rachel Wong,Ireland,33,0
21,Adrienne Rice,Greenland,60,8
22,Jason Oneill,Zambia,22,3
23,Darius Richardson,Congo,52,2
24,Tina Carter,Guinea-Bissau,42,1
25,Jason Ward,Congo,52,6
26,Sean Mccarthy,New Zealand,21,5
27,Crystal Jimenez,Bahamas,80,9
28,Robin Stein,Azerbaijan,36,4
29,Steven Miller,American Samoa,45,1
30,Jacqueline Williams,Micronesia,46,9
31,Ashley Salazar,British Virgin Islands,45,2
32,Robert Smith,Tuvalu,29,5
33,Mr. John Frye,Zimbabwe,31,4
34,Corey Young,Maldives,44,1
35,Kristen Brown,Honduras,34,8
36,Oscar Campbell,Greece,27,8
37,Johnny Calhoun,Equatorial Guinea,78,5
38,Lisa Mccormick,Belize,44,10
39,Mary Mayer,Guam,72,6
40,Amanda Johnson,Bosnia and Herzegovina,76,0
41,Jason Fleming,Albania,47,7
42,Mr. Nicolas Atkinson,French Guiana,73,1
43,Peggy Franco,Botswana,67,1
44,Angelica Evans,Guinea-Bissau,71,10
45,Gary Greene,Nicaragua,58,7
46,Gerald Lucas,Northern Mariana Islands,70,8
47,Sarah Smith,Guatemala,41,4
48,Elizabeth Gonzales,Central African Republic,70,8
49,Joseph Walker,Nauru,49,10
50,Christopher Salazar,French Polynesia,68,6
51,Christine Watts,Iceland,26,8
52,Kayla Pierce,Namibia,73,0
53,Jennifer Martin,Northern Mariana Islands,51,1
54,Raymond Mays,Sao Tome and Principe,68,0
55,Debra Leach,United States of America,21,10
56,Thomas Webster,United Arab Emirates,37,7
57,Matthew Rose,Bangladesh,73,5
58,Michael Hood,Puerto Rico,21,5
59,David Miller,Guyana,61,7
60,Mrs. Colleen Hughes,Uzbekistan,52,5
61,Tamara Graham,Heard Island and McDonald Islands,25,1
62,Douglas Norman,Isle of Man,43,9
63,Benjamin Newman,Isle of Man,42,0
64,Brittany Jackson,Colombia,27,3
65,Jeffrey Stewart,Heard Island and McDonald Islands,49,0
66,Brandon Williams,Belgium,71,9
67,Jason Kelley,Bermuda,41,6
68,George Davis,Brazil,80,4
69,Kelly Hansen,New Zealand,55,5
70,Derek Williams,Sao Tome and Principe,31,1
71,James Wright,Barbados,46,4
72,Casey Brown,Isle of Man,50,8
73,Shawn Gray III,Niue,34,8
74,Jacqueline Cunningham,New Zealand,29,5
75,Bobby Davis,Honduras,29,0
76,Danielle Russell,Sudan,57,5
77,Eric Richards,Yemen,70,10
78,Alicia Glover,Zimbabwe,41,8
79,Kaitlin Leonard,Palestinian Territory,57,1
80,Sharon Lawrence,Tanzania,56,1
81,John Johnson,Azerbaijan,56,4
82,Stephen Riley,Bhutan,37,4
83,Ashley Ho,Angola,51,5
84,Linda Terry,Togo,56,9
85,Ricardo Hamilton,Guatemala,55,8
86,Makayla Morris,India,35,9
87,Casey Turner,Oman,41,2
88,Sonya Rogers,Indonesia,74,7
89,Claudia Fowler,Suriname,24,8
90,Laura Murphy,Norway,65,3
91,Ronald Davis,Macao,78,9
92,Kathleen Garcia,Mayotte,55,2
93,Michael Lewis,Slovenia,26,6
94,Ricky Dennis,Bhutan,60,9
95,Pedro Moreno,Cape Verde,57,9
96,Christina Kidd,Malawi,22,5
97,Ryan Rodriguez,Saint Kitts and Nevis,48,2
98,William Becker,Madagascar,20,1
99,Jacqueline Berry,Congo,67,4
100,Samantha Duncan,Niger,59,10
101,April Boyd,Solomon Islands,30,7
